Datum ;Heimspiel
20.08.2013;1
24.08.2013;1
11.09.2013;1
18.09.2013;1
25.09.2013;1
29.09.2013;1
05.10.2013;1
16.10.2013;1
06.11.2013;1
20.11.2013;1
27.11.2013;1
01.12.2013;1
11.12.2013;1
18.12.2013;1
21.12.2013;1
26.12.2013;1
12.02.2014;1
16.02.2014;1
19.02.2014;1
16.03.2014;1
26.03.2014;1
30.03.2014;1
27.04.2014;1
30.04.2014;1
11.05.2014;1
24.05.2014;1
19.08.2014;1
26.08.2014;1
14.09.2014;1
02.10.2014;1
05.10.2014;1
15.10.2014;1
21.10.2014;1
05.11.2014;1
12.11.2014;1
22.11.2014;1
26.11.2014;1
30.11.2014;1
14.12.2014;1
17.12.2014;1
23.12.2014;1
26.12.2014;1
15.02.2015;1
19.02.2015;1
22.02.2015;1
25.02.2015;1
12.03.2015;1
22.03.2015;1
01.04.2015;1
05.04.2015;1
19.04.2015;1
22.04.2015;1
20.05.2015;1
30.05.2015;1
05.06.2015;1
15.08.2015;1
19.08.2015;1
02.09.2015;1
09.09.2015;1
20.09.2015;1
27.09.2015;1
30.09.2015;1
03.10.2015;1
14.10.2015;1
21.10.2015;1
12.11.2015;1
15.11.2015;1
25.11.2015;1
06.12.2015;1
09.12.2015;1
16.12.2015;1
23.12.2015;1
10.02.2016;1
17.02.2016;1
21.02.2016;1
27.02.2016;1
03.03.2016;1
23.03.2016;1
16.04.2016;1
24.04.2016;1
04.05.2016;1
08.05.2016;1
15.05.2016;1
28.05.2016;1
05.06.2016;1
27.08.2016;1
28.08.2016;1
11.09.2016;1
14.09.2016;1
25.09.2016;1
27.09.2016;1
19.10.2016;1
22.10.2016;1
13.11.2016;1
20.11.2016;1
26.11.2016;1
03.12.2016;1
11.12.2016;1
21.12.2016;1
26.12.2016;1
15.02.2017;1
19.02.2017;1
22.02.2017;1
25.02.2017;1
05.03.2017;1
08.03.2017;1
22.03.2017;1
02.04.2017;1
09.04.2017;1
19.04.2017;1
23.04.2017;1
14.05.2017;1
28.05.2017;1
03.06.2017;1
03.09.2017;1
07.09.2017;1
14.09.2017;1
17.09.2017;1
27.09.2017;1
12.10.2017;1
15.10.2017;1
02.11.2017;1
12.11.2017;1
16.11.2017;1
25.11.2017;1
02.12.2017;1
14.12.2017;1
27.12.2017;1
07.02.2018;1
15.02.2018;1
24.02.2018;1
01.03.2018;1
15.03.2018;1
21.03.2018;1
24.03.2018;1
29.03.2018;1
19.04.2018;1
22.04.2018;1
10.05.2018;1
31.05.2018;1
18.08.2018;1
19.08.2018;1
04.09.2018;1
16.09.2018;1
27.09.2018;1
30.09.2018;1
11.10.2018;1
17.10.2018;1
21.10.2018;1
11.11.2018;1
18.11.2018;1
22.11.2018;1
27.11.2018;1
06.12.2018;1
27.12.2018;1
13.02.2019;1
17.02.2019;1
24.02.2019;1
14.03.2019;1
23.03.2019;1
28.03.2019;1
06.04.2019;1
28.04.2019;1
12.05.2019;1
18.05.2019;1
26.05.2019;1
